Date,Hour,Total Market Demand,Ontario Demand
01-Jan-14,1,18266,15862
01-Jan-14,2,17705,15462
01-Jan-14,3,17582,15182
01-Jan-14,4,17311,14925
01-Jan-14,5,17090,14807
01-Jan-14,6,17029,14934
01-Jan-14,7,17053,15246
01-Jan-14,8,17044,15510
01-Jan-14,9,17309,15675
01-Jan-14,10,18117,16018
01-Jan-14,11,18794,16479
01-Jan-14,12,19299,16950
01-Jan-14,13,19284,17048
01-Jan-14,14,18776,17040
01-Jan-14,15,18639,16957
01-Jan-14,16,18683,17226
01-Jan-14,17,20454,18112
01-Jan-14,18,21673,19519
01-Jan-14,19,21439,19406
01-Jan-14,20,20756,18976
01-Jan-14,21,20025,18685
01-Jan-14,22,19772,18275
01-Jan-14,23,19109,17480
01-Jan-14,24,18263,16458
02-Jan-14,1,18163,15778
02-Jan-14,2,17909,15629
02-Jan-14,3,18125,15524
02-Jan-14,4,17973,15472
02-Jan-14,5,18064,15730
02-Jan-14,6,18944,16345
02-Jan-14,7,20019,17659
02-Jan-14,8,21422,18728
02-Jan-14,9,22123,19438
02-Jan-14,10,22641,19980
02-Jan-14,11,23600,20440
02-Jan-14,12,23543,20696
02-Jan-14,13,23256,20718
02-Jan-14,14,23277,20651
02-Jan-14,15,23141,20576
02-Jan-14,16,23224,20543
02-Jan-14,17,23198,21276
02-Jan-14,18,23851,22476
02-Jan-14,19,23871,22320
02-Jan-14,20,23809,21981
02-Jan-14,21,23844,21933
02-Jan-14,22,23288,21156
02-Jan-14,23,22351,19946
02-Jan-14,24,21053,18756
03-Jan-14,1,20814,17878
03-Jan-14,2,20339,17383
03-Jan-14,3,20070,17163
03-Jan-14,4,19944,17102
03-Jan-14,5,20501,17165
03-Jan-14,6,21012,17611
03-Jan-14,7,21636,18647
03-Jan-14,8,22161,19627
03-Jan-14,9,22532,20002
03-Jan-14,10,23491,20422
03-Jan-14,11,23494,20428
03-Jan-14,12,22864,20253
03-Jan-14,13,22987,19992
03-Jan-14,14,22814,19808
03-Jan-14,15,22773,19590
03-Jan-14,16,22517,19652
03-Jan-14,17,23251,20447
03-Jan-14,18,24387,21852
03-Jan-14,19,24822,22113
03-Jan-14,20,24717,21729
03-Jan-14,21,24581,21268
03-Jan-14,22,23757,20505
03-Jan-14,23,22805,19249
03-Jan-14,24,21788,17931
04-Jan-14,1,20944,17011
04-Jan-14,2,20777,16507
04-Jan-14,3,20359,16043
04-Jan-14,4,20194,15874
04-Jan-14,5,20416,15853
04-Jan-14,6,20436,16120
04-Jan-14,7,20560,16344
04-Jan-14,8,21181,16996
04-Jan-14,9,21569,17411
04-Jan-14,10,21504,17583
04-Jan-14,11,21651,17929
04-Jan-14,12,21816,17924
04-Jan-14,13,21019,17827
04-Jan-14,14,20775,17652
04-Jan-14,15,20094,17584
04-Jan-14,16,19785,17632
04-Jan-14,17,21169,18466
04-Jan-14,18,23027,19957
04-Jan-14,19,22954,19699
04-Jan-14,20,21672,18952
04-Jan-14,21,20746,18604
04-Jan-14,22,19980,17967
04-Jan-14,23,19504,17153
04-Jan-14,24,18581,16239
05-Jan-14,1,18159,15497
05-Jan-14,2,17168,14922
05-Jan-14,3,16726,14692
05-Jan-14,4,16402,14566
05-Jan-14,5,16600,14538
05-Jan-14,6,17028,14705
05-Jan-14,7,16731,15055
05-Jan-14,8,17232,15555
05-Jan-14,9,17781,15983
05-Jan-14,10,18524,16599
05-Jan-14,11,19176,17255
05-Jan-14,12,19601,17393
05-Jan-14,13,19815,17535
05-Jan-14,14,19877,17428
05-Jan-14,15,19618,17357
05-Jan-14,16,19999,17756
05-Jan-14,17,20736,18691
05-Jan-14,18,22399,20056
05-Jan-14,19,22530,19888
05-Jan-14,20,21621,19257
05-Jan-14,21,20932,18853
05-Jan-14,22,20182,18151
05-Jan-14,23,18913,17090
05-Jan-14,24,17688,16070
06-Jan-14,1,16702,15471
06-Jan-14,2,16890,14919
06-Jan-14,3,16843,14672
06-Jan-14,4,16970,14449
06-Jan-14,5,17316,14649
06-Jan-14,6,17642,15481
06-Jan-14,7,18476,16692
06-Jan-14,8,20204,18207
06-Jan-14,9,20650,18478
06-Jan-14,10,21046,18562
06-Jan-14,11,21147,18762
06-Jan-14,12,20963,18821
06-Jan-14,13,20835,18760
06-Jan-14,14,21303,18865
06-Jan-14,15,21448,18982
06-Jan-14,16,21695,19266
06-Jan-14,17,22613,20263
06-Jan-14,18,24279,21736
06-Jan-14,19,24338,21834
06-Jan-14,20,24205,21686
06-Jan-14,21,23877,21356
06-Jan-14,22,23146,20454
