Date,Hour,Imports,Exports
01-Jan-14,1,519,"2,465"
01-Jan-14,2,185,"2,295"
01-Jan-14,3,122,"2,465"
01-Jan-14,4,158,"2,458"
01-Jan-14,5,238,"2,352"
01-Jan-14,6,312,"2,161"
01-Jan-14,7,50,"1,871"
01-Jan-14,8,100,"1,583"
01-Jan-14,9,255,"1,661"
01-Jan-14,10,962,"2,140"
01-Jan-14,11,673,"2,364"
01-Jan-14,12,220,"2,398"
01-Jan-14,13,319,"2,301"
01-Jan-14,14,150,"1,782"
01-Jan-14,15,150,"1,739"
01-Jan-14,16,150,"1,469"
01-Jan-14,17,840,"2,402"
01-Jan-14,18,650,"2,213"
01-Jan-14,19,150,"2,102"
01-Jan-14,20,150,"1,845"
01-Jan-14,21,150,"1,387"
01-Jan-14,22,100,"1,556"
01-Jan-14,23,0,"1,688"
01-Jan-14,24,122,"1,844"
02-Jan-14,1,122,"2,453"
02-Jan-14,2,122,"2,330"
02-Jan-14,3,122,"2,670"
02-Jan-14,4,122,"2,567"
02-Jan-14,5,122,"2,374"
02-Jan-14,6,222,"2,656"
02-Jan-14,7,5,"2,385"
02-Jan-14,8,150,"2,729"
02-Jan-14,9,150,"2,722"
02-Jan-14,10,50,"2,674"
02-Jan-14,11,100,"3,207"
02-Jan-14,12,50,"2,894"
02-Jan-14,13,0,"2,570"
02-Jan-14,14,0,"2,665"
02-Jan-14,15,110,"2,595"
02-Jan-14,16,108,"2,756"
02-Jan-14,17,100,"1,988"
02-Jan-14,18,248,"1,416"
02-Jan-14,19,287,"1,584"
02-Jan-14,20,452,"1,879"
02-Jan-14,21,287,"1,965"
02-Jan-14,22,184,"2,183"
02-Jan-14,23,261,"2,481"
02-Jan-14,24,257,"2,340"
03-Jan-14,1,172,"3,007"
03-Jan-14,2,122,"3,030"
03-Jan-14,3,122,"2,979"
03-Jan-14,4,122,"2,891"
03-Jan-14,5,122,"3,395"
03-Jan-14,6,122,"3,477"
03-Jan-14,7,242,"3,073"
03-Jan-14,8,207,"2,594"
03-Jan-14,9,0,"2,547"
03-Jan-14,10,432,"3,072"
03-Jan-14,11,270,"3,120"
